year,brate_firstbirth,brate_secondbirth,brate_thirdbirth,brate_fourthplusbirth
1990,28.557373,22.642153,11.550601,7.368681
1991,27.904219,22.15514,11.324177,7.3841696
1992,27.277252,22.06414,11.193993,7.3641105
1993,26.924713,21.586176,10.81135,7.1576724
1994,26.76272,21.088942,10.522436,6.8899999
1995,26.481451,20.592745,10.23311,6.6271462
1996,26.006178,20.616446,10.289599,6.6296239
1997,25.620829,20.545858,10.297609,6.6116867
1998,25.557018,20.882748,10.54258,6.7107482
1999,25.698595,20.909842,10.62325,6.7338891
2000,26.185133,21.293081,10.976204,6.968555
2001,25.687059,21.17662,10.935197,7.0020189
2002,25.668695,21.123795,10.916711,7.0247588
2003,26.297153,21.334585,11.056956,7.0972338
2004,26.211084,21.289816,11.197899,7.2477713
2005,26.282331,21.370766,11.271933,7.3568282
2006,27.186739,21.777029,11.523793,7.6183596
2007,27.605963,21.882267,11.597926,7.7685795
2008,27.23369,21.335184,11.30713,7.7219548
2009,26.538893,20.698114,10.888248,7.5938597
2010,25.623888,20.017138,10.497197,7.3957243
2011,25.152052,19.804955,10.358288,7.3322964
2012,24.95833,19.830656,10.359822,7.4186397
2013,24.485992,19.739981,10.371743,7.4542298
2014,24.474798,20.040203,10.554439,7.6365514
2015,24.018356,20.027145,10.595014,7.7357931
2016,23.550903,19.879097,10.553631,7.781147
2017,22.823421,19.329102,10.362747,7.7262187
2018,22.358288,18.869875,10.163586,7.60853
2019,21.915758,18.719229,9.9491253,7.510118
